Tail Turning on X_axis,Tail twisting on Y-axis,Tail-Main Distance,AOA of Main Wing,C_Fx,C_Fy,C_Fz,C_Tx,C_Ty,C_Tz,,,,,,,,,,,,
0,0,20,-10,0.018807633,-0.183028859,-0.084851993,-0.25177393,-0.003653707,-0.000586999,,,0,0,20,0,0.008826741,-0.142854931,0.260921846,-0.262005438,0.003930387,0.000313727
10,0,0,0,0.01380983,-0.12719204,0.244037726,-0.130813772,0.007404097,-0.000757996,,,10,0,0,-10,0.019721408,-0.161512571,-0.036438371,-0.076226717,0.000236036,-0.001985737
10,0,0,0,0.014571603,-0.127569105,0.258002003,-0.131067212,0.007333656,-0.000746015,,,10,0,0,-10,0.020531029,-0.161871395,-0.039301875,-0.076942063,0.000696541,-0.002059564
10,0,0,0,0.015243067,-0.127093401,0.272674286,-0.13052417,0.007002844,-0.000812359,,,10,0,0,-10,0.020074648,-0.162277962,-0.040261592,-0.077162961,0.000654904,-0.002058527
10,0,0,-10,0.019721408,-0.161512571,-0.036438371,-0.076226717,0.000236036,-0.001985737,,,10,0,0,0,0.01380983,-0.12719204,0.244037726,-0.130813772,0.007404097,-0.000757996
10,0,0,-10,0.020531029,-0.161871395,-0.039301875,-0.076942063,0.000696541,-0.002059564,,,10,0,0,0,0.014571603,-0.127569105,0.258002003,-0.131067212,0.007333656,-0.000746015
10,0,0,-10,0.020074648,-0.162277962,-0.040261592,-0.077162961,0.000654904,-0.002058527,,,10,0,0,0,0.015243067,-0.127093401,0.272674286,-0.13052417,0.007002844,-0.000812359
10,0,0,10,0.030492105,-0.215706864,0.504936604,-0.263390688,-0.005484919,0.001066441,,,10,0,0,10,0.030492105,-0.215706864,0.504936604,-0.263390688,-0.005484919,0.001066441
10,0,0,10,0.030932427,-0.215684886,0.505598226,-0.264031708,-0.005193156,0.001120218,,,10,0,0,10,0.030932427,-0.215684886,0.505598226,-0.264031708,-0.005193156,0.001120218
10,0,0,10,0.030665127,-0.216322612,0.505685702,-0.263521401,-0.005740698,0.001033942,,,10,0,0,10,0.030665127,-0.216322612,0.505685702,-0.263521401,-0.005740698,0.001033942
10,0,5,0,0.01970018,-0.132735535,0.280502661,-0.161559593,0.005144719,-0.000664268,,,10,0,5,-10,0.020081868,-0.165378579,-0.055457605,-0.110615049,-0.000762077,-0.001570082
10,0,5,0,0.019583382,-0.133489464,0.281261431,-0.162131957,0.005016618,-0.000676025,,,10,0,5,-10,0.020413999,-0.166135753,-0.056507085,-0.110989896,-0.0005018,-0.001607567
10,0,5,0,0.019725315,-0.133739839,0.279823122,-0.161997989,0.005252429,-0.000660251,,,10,0,5,-10,0.020235686,-0.164966211,-0.054458606,-0.110674504,-0.000389714,-0.001613345
10,0,5,-10,0.020081868,-0.165378579,-0.055457605,-0.110615049,-0.000762077,-0.001570082,,,10,0,5,0,0.01970018,-0.132735535,0.280502661,-0.161559593,0.005144719,-0.000664268
10,0,5,-10,0.020413999,-0.166135753,-0.056507085,-0.110989896,-0.0005018,-0.001607567,,,10,0,5,0,0.019583382,-0.133489464,0.281261431,-0.162131957,0.005016618,-0.000676025
10,0,5,-10,0.020235686,-0.164966211,-0.054458606,-0.110674504,-0.000389714,-0.001613345,,,10,0,5,0,0.019725315,-0.133739839,0.279823122,-0.161997989,0.005252429,-0.000660251
10,0,5,10,0.028087641,-0.223282433,0.466061856,-0.282075663,-0.005552062,0.00118927,,,10,0,5,10,0.028087641,-0.223282433,0.466061856,-0.282075663,-0.005552062,0.00118927
10,0,5,10,0.02828498,-0.224966574,0.464457238,-0.282288848,-0.005647143,0.001195908,,,10,0,5,10,0.02828498,-0.224966574,0.464457238,-0.282288848,-0.005647143,0.001195908
10,0,5,10,0.028210426,-0.223799677,0.462165873,-0.281128597,-0.005788888,0.00114672,,,10,0,5,10,0.028210426,-0.223799677,0.462165873,-0.281128597,-0.005788888,0.00114672
10,0,10,0,0.016304116,-0.132902065,0.255477946,-0.181518257,0.004486677,-0.000388357,,,10,0,10,-10,0.019185118,-0.17208904,-0.070011432,-0.141849214,-0.001058259,-0.001338665
10,0,10,0,0.015194837,-0.133024212,0.25065565,-0.181462285,0.00441565,-0.000369945,,,10,0,10,-10,0.018768799,-0.172242146,-0.072279778,-0.142299412,-0.00122009,-0.001284262
10,0,10,0,0.015121026,-0.133694296,0.250725594,-0.181908787,0.004719585,-0.00036163,,,10,0,10,-10,0.018959275,-0.172916719,-0.074482287,-0.14330072,-0.000372593,-0.001421526
10,0,10,-10,0.019185118,-0.17208904,-0.070011432,-0.141849214,-0.001058259,-0.001338665,,,10,0,10,0,0.016304116,-0.132902065,0.255477946,-0.181518257,0.004486677,-0.000388357
10,0,10,-10,0.018768799,-0.172242146,-0.072279778,-0.142299412,-0.00122009,-0.001284262,,,10,0,10,0,0.015194837,-0.133024212,0.25065565,-0.181462285,0.00441565,-0.000369945
10,0,10,-10,0.018959275,-0.172916719,-0.074482287,-0.14330072,-0.000372593,-0.001421526,,,10,0,10,0,0.015121026,-0.133694296,0.250725594,-0.181908787,0.004719585,-0.00036163
10,0,10,10,0.026499274,-0.228930705,0.447824067,-0.297070346,-0.006099904,0.001749374,,,10,0,10,10,0.026499274,-0.228930705,0.447824067,-0.297070346,-0.006099904,0.001749374
10,0,10,10,0.027421878,-0.230122932,0.450291885,-0.29787862,-0.006176335,0.001788845,,,10,0,10,10,0.027421878,-0.230122932,0.450291885,-0.29787862,-0.006176335,0.001788845
10,0,10,10,0.027607184,-0.230024944,0.451225479,-0.29851406,-0.005677058,0.001910345,,,10,0,10,10,0.027607184,-0.230024944,0.451225479,-0.29851406,-0.005677058,0.001910345
10,0,15,0,0.012530362,-0.126836174,0.249591091,-0.211908326,0.003615869,2.6519E-05,,,10,0,15,-10,0.016360109,-0.1674618,-0.079472556,-0.17749083,-0.001853328,-0.001056221
10,0,15,0,0.012633402,-0.127430885,0.250417736,-0.211678296,0.003390698,3.67033E-05,,,10,0,15,-10,0.017224032,-0.166250215,-0.077930077,-0.17747738,-0.0016533,-0.001031191
10,0,15,0,0.011819337,-0.127196578,0.250846455,-0.212344789,0.003744513,4.68228E-05,,,10,0,15,-10,0.016458444,-0.166408625,-0.07695946,-0.177430757,-0.002115744,-0.00098758
10,0,15,-10,0.016360109,-0.1674618,-0.079472556,-0.17749083,-0.001853328,-0.001056221,,,10,0,15,0,0.012530362,-0.126836174,0.249591091,-0.211908326,0.003615869,2.6519E-05
10,0,15,-10,0.017224032,-0.166250215,-0.077930077,-0.17747738,-0.0016533,-0.001031191,,,10,0,15,0,0.012633402,-0.127430885,0.250417736,-0.211678296,0.003390698,3.67033E-05
10,0,15,-10,0.016458444,-0.166408625,-0.07695946,-0.177430757,-0.002115744,-0.00098758,,,10,0,15,0,0.011819337,-0.127196578,0.250846455,-0.212344789,0.003744513,4.68228E-05
10,0,15,10,0.02591075,-0.218326894,0.44566108,-0.316205538,-0.006265756,0.002293624,,,10,0,15,10,0.02591075,-0.218326894,0.44566108,-0.316205538,-0.006265756,0.002293624
10,0,15,10,0.025520423,-0.218199833,0.444284103,-0.315619059,-0.006582647,0.002172303,,,10,0,15,10,0.025520423,-0.218199833,0.444284103,-0.315619059,-0.006582647,0.002172303
10,0,15,10,0.025442038,-0.217791707,0.443387261,-0.315400374,-0.00650016,0.00221246,,,10,0,15,10,0.025442038,-0.217791707,0.443387261,-0.315400374,-0.00650016,0.00221246
10,0,20,0,0.009229408,-0.123485919,0.245184305,-0.234388213,0.002911756,0.000124508,,,10,0,20,-10,0.016478889,-0.168245849,-0.084678182,-0.2081373,-0.002889699,-0.000850492
10,0,20,0,0.008700848,-0.12397416,0.244609352,-0.233652245,0.002652627,0.000126063,,,10,0,20,-10,0.016498341,-0.167395928,-0.085298531,-0.207658799,-0.002883027,-0.000830831
10,0,20,0,0.009142091,-0.123525323,0.241548122,-0.234232376,0.002979763,0.000146932,,,10,0,20,-10,0.016502097,-0.167318022,-0.083490358,-0.207217472,-0.003005742,-0.000821099
10,0,20,-10,0.016478889,-0.168245849,-0.084678182,-0.2081373,-0.002889699,-0.000850492,,,10,0,20,0,0.009229408,-0.123485919,0.245184305,-0.234388213,0.002911756,0.000124508
10,0,20,-10,0.016498341,-0.167395928,-0.085298531,-0.207658799,-0.002883027,-0.000830831,,,10,0,20,0,0.008700848,-0.12397416,0.244609352,-0.233652245,0.002652627,0.000126063
10,0,20,-10,0.016502097,-0.167318022,-0.083490358,-0.207217472,-0.003005742,-0.000821099,,,10,0,20,0,0.009142091,-0.123525323,0.241548122,-0.234232376,0.002979763,0.000146932
10,0,20,10,0.024197729,-0.226380149,0.435754458,-0.332134155,-0.00740923,0.002178185,,,10,0,20,10,0.024197729,-0.226380149,0.435754458,-0.332134155,-0.00740923,0.002178185
10,0,20,10,0.023586923,-0.226774947,0.436446994,-0.33242547,-0.00718973,0.002202516,,,10,0,20,10,0.023586923,-0.226774947,0.436446994,-0.33242547,-0.00718973,0.002202516
